Content Type,Quote Text,Voice,Template Style,Hashtags,Platform,Notes
Quote,"Are you sure it was that bad? Yes. You are sure. And you are not alone.",Empathetic,Educational,"#narcissisticabuse #youarenotalone #validation #truthovertactic #survivor",All,From Chapter 1
Quote,"Their charm feels magnetic—intoxicating even. This is the mask: a calculated, deliberate façade designed to manipulate and control.",Empowered,Statement,"#maskbehindthecharm #lovebombing #narcissist #manipulation #truthovertactic",All,From Chapter 2
Quote,"Love bombing isn't love. It's recruitment.",Frustrated,Punch,"#lovebombing #narcissist #manipulation #toxicrelationships #truthovertactic",All,From Chapter 2
Quote,"They didn't just lie to you. They convinced you that your truth was fiction.",Frustrated,Punch,"#gaslighting #narcissisticabuse #manipulation #truthovertactic #emotionalabuse",All,From Chapter 2
Quote,"Divorcing a narcissist means stepping into a battlefield laced with invisible landmines.",Empowered,Statement,"#divorcingnanarcissist #narcissisticabuse #divorce #highconflictdivorce #truthovertactic",All,From Chapter 3
Quote,"Chaos may have surrounded you—but clarity is possible. And you are already moving toward it, one truth at a time.",Empowered,Statement,"#chaostoclarity #healing #clarity #survivor #truthovertactic",All,From Chapter 1
Quote,"A narcissistic divorce is not just a legal process—it's a psychological battle.",Empowered,Statement,"#divorcingnanarcissist #support #mentalhealth #divorce #truthovertactic",All,From Chapter 4
Quote,"The journey to healing begins when you lift the mask. Only then can you confront the truth and start to free yourself from their psychological grip.",Empowered,Statement,"#unmasking #healing #narcissist #recovery #truthovertactic",All,From Chapter 2
Quote,"This is not just a roadmap for survival. It's an invitation to rediscover who you are beneath the scars.",Empowered,Statement,"#identity #recovery #healing #survivor #truthovertactic",All,From Chapter 1
Quote,"Like a Phoenix from the ashes of confusion and pain, clarity rises. You will reclaim your voice. You will rewrite your story.",Empowered,Statement,"#phoenixrising #healing #survivor #empowerment #truthovertactic",All,Final Words
Quote,"You are allowed to say no. You are allowed to disengage. You are allowed to create space between yourself and the source of your pain.",Empowered,Statement,"#boundaries #selfrespect #healing #narcissisticabuse #truthovertactic",All,From Chapter 10
Quote,"You survived. Now you get to live.",Empowered,Punch,"#survivor #thriving #newfuture #healing #truthovertactic",All,From Chapter 14
Quote,"When you leave a relationship with a narcissist, it can feel as if you're stepping out of a darkened theater into the daylight. That discomfort is temporary. It's the stretching of wings long held down.",Empathetic,Educational,"#healing #freedom #recovery #survivor #truthovertactic",All,From Chapter 14
Quote,"Where once success meant pleasing someone else, now it might mean waking up without fear.",Empathetic,Educational,"#redefining #healing #peace #recovery #truthovertactic",All,From Chapter 14
