ID,Content_Type,Voice_Type,Text,Chapter,Theme,Character_Count
1,Quote,Empowered,"You survived 100% of your worst days.",1,Survival strength,38
2,Quote,Empowered,"From chaos, clarity. From fear, freedom.",1,Hope and transformation,43
3,Quote,Empowered,"You're not broken. You're healing from trauma.",1,Healing is possible,48
4,Quote,Empowered,"This is your story to reclaim.",1,Agency and new beginnings,34
5,Quote,Empowered,"You're not broken. You're traumatized.",1,Normalizing trauma response,39
6,Quote,Empowered,"Safety planning comes first.",1,Strategic preparation,29
7,Quote,Empowered,"You didn't stay too long. You left when survival allowed.",1,Timeline compassion,59
8,Quote,Empowered,"Documentation is your defense.",1,Strategic action,32
9,Quote,Empowered,"From chaos, clarity is possible.",1,Progress and hope,35
10,Quote,Empowered,"This is a marathon, not a sprint.",1,Sustainable recovery,37
11,Quote,Empowered,"You control your healing pace.",1,Agency and boundaries,34
12,Quote,Empowered,"Understanding is the first step to freedom.",1,Recognition as power,45
13,Quote,Empowered,"Your love was real. Their mask was not.",2,Authentic love validation,43
14,Quote,Empowered,"Your capacity to love is strength, not weakness.",2,Vulnerability as strength,53
15,Quote,Empowered,"The mask is slipping. You decide what's next.",2,Clarity and agency,49
16,Quote,Empowered,"Lift the mask. Choose yourself.",2,Courageous choice,34
17,Quote,Empowered,"Their rage isn't your fault.",2,Releasing responsibility,30
18,Quote,Empowered,"You're not crazy. You're seeing through their lies.",2,Trusting perception,52
19,Quote,Empowered,"Real love doesn't hurt.",2,Defining healthy love,25
20,Quote,Empowered,"You're a survivor, not an abuser.",2,Self-compassion,37
21,Quote,Empowered,"What you said in desperation isn't who you are.",2,Reactive abuse context,53
22,Quote,Empowered,"Trust your reality over their performance.",2,Self-trust,44
23,Quote,Empowered,"Seeing clearly is painful and powerful.",2,Clarity through pain,44
24,Quote,Empowered,"The mask was the lie. Truth is your freedom.",2,Truth as liberation,49
25,Quote,Empowered,"You stayed because your brain was hijacked.",3,Neuroscience removes shame,45
26,Quote,Empowered,"The shame ends here.",3,Ending shame,20
27,Quote,Empowered,"Trauma bonds can be broken.",3,Hope for healing,30
28,Quote,Empowered,"Every day of no contact is progress.",3,No-contact progress,39
29,Quote,Empowered,"You're doing better than you think.",3,Encouragement,38
30,Quote,Empowered,"No contact is survival, not cruelty.",3,No-contact validation,39
31,Quote,Empowered,"This pain is temporary. You will heal.",3,Withdrawal hope,41
32,Quote,Empowered,"Thousands broke free. You can too.",3,Community hope,37
33,Quote,Empowered,"Your fear was rational, not cowardice.",3,Fear validation,41
34,Quote,Empowered,"You're remembering who you are.",3,Identity reclamation,35
35,Quote,Empowered,"Understanding trauma bonding gives you power to break it.",3,Knowledge as power,58
36,Quote,Empowered,"The prison has a door. It can be opened.",3,Biological hope,46
37,Quote,Empowered,"You survived the inescapable. You're breaking free.",3,Survival strength,54
38,Quote,Empowered,"Distance is healing, even when invisible.",3,Invisible progress,43
39,Quote,Empowered,"You're not crazy. You see the pattern now.",4,Pattern recognition,44
40,Quote,Empowered,"Documentation makes your truth undeniable.",4,Documentation power,44
41,Quote,Empowered,"Chaos surrounds you. Clarity grows within.",4,Inner strength,46
42,Quote,Empowered,"You're not just surviving. You're preparing to thrive.",4,Active agency,56
43,Quote,Empowered,"Their chaos will exhaust itself. Your clarity won't.",4,Sustainable strength,54
44,Quote,Empowered,"Stop rescuing them. Let the pattern show.",4,Strategic disengagement,44
45,Quote,Empowered,"Drama is their fuel. Boredom is your boundary.",4,Gray Rock,52
46,Quote,Empowered,"You can't win their smear campaign. Let your truth speak.",4,Smear campaign response,60
47,Quote,Empowered,"Their lies reveal their character, not yours.",4,Reputation protection,47
48,Quote,Empowered,"Your integrity will speak. Eventually.",4,Patient confidence,39
49,Quote,Empowered,"Reading this is a step. You're building awareness.",4,Small progress,53
50,Quote,Empowered,"Progress, not perfection. You're doing better than you think.",4,Self-compassion,63
51,Quote,Empathetic,"None of this was your fault.",1,Eliminating self-blame,29
52,Quote,Empathetic,"Your self-doubt is their manipulation working.",1,Gaslighting symptom,48
53,Quote,Empathetic,"Your body knows the truth.",1,Somatic knowing,28
54,Quote,Empathetic,"There's no timeline for leaving abuse.",1,Timeline validation,41
55,Quote,Empathetic,"They seemed nice to others. You know the truth.",1,External doubt,51
56,Quote,Empathetic,"It was that bad.",1,Deep validation,17
57,Quote,Empathetic,"Your experience is valid.",1,Self-trust,26
58,Quote,Empathetic,"You're not weak. You're surviving psychological warfare.",1,Trauma normalization,56
59,Quote,Empathetic,"All your feelings are normal.",1,Emotional validation,31
60,Quote,Empathetic,"Take breaks. You're in control.",1,Pacing permission,32
61,Quote,Empathetic,"You don't have to be strong all the time.",1,Permission to struggle,45
62,Quote,Empathetic,"This pain is real, but not permanent.",1,Hope with validation,40
63,Quote,Empathetic,"You weren't weak for falling for it. You were human.",2,Love bombing vulnerability,54
64,Quote,Empathetic,"The mask wasn't a small lie. It was everything.",2,Deception scale,49
65,Quote,Empathetic,"Cruelty followed by kindness is powerful conditioning.",2,Trauma bond science,57
66,Quote,Empathetic,"Missing someone who hurt you doesn't mean you want them back.",2,Complex grief,63
67,Quote,Empathetic,"Healing isn't linear. Setbacks are normal.",2,Non-linear healing,43
68,Quote,Empathetic,"Days of doubt are normal. Keep going.",2,Permission for doubt,39
69,Quote,Empathetic,"Holding onto good moments is cognitive dissonance, not weakness.",2,Hope trap,65
70,Quote,Empathetic,"Grieve who you thought they were. It's okay.",2,Grief permission,47
71,Quote,Empathetic,"Worrying you're abusive means you're not.",2,Reactive abuse,45
72,Quote,Empathetic,"Your worst moments don't equal their calculated cruelty.",2,Context matters,58
73,Quote,Empathetic,"You reacted to torture. That's not a flaw.",2,Reactive context,45
